:START_ID,:END_ID,:TYPE
cityname,1,LOCATED
cityname,2,LOCATED
cityname,3,LOCATED
cityname,4,LOCATED
cityname,5,LOCATED
cityname,6,LOCATED
cityname,7,LOCATED
cityname,8,LOCATED
cityname,9,LOCATED
成都,10,LOCATED
成都,11,LOCATED
成都,12,LOCATED
成都,13,LOCATED
成都,14,LOCATED
成都,15,LOCATED
成都,16,LOCATED
成都,17,LOCATED
成都,18,LOCATED
重庆,19,LOCATED
重庆,20,LOCATED
重庆,21,LOCATED
重庆,22,LOCATED
重庆,23,LOCATED
重庆,24,LOCATED
重庆,25,LOCATED
重庆,26,LOCATED
重庆,27,LOCATED
杭州,28,LOCATED
杭州,29,LOCATED
杭州,30,LOCATED
杭州,31,LOCATED
杭州,32,LOCATED
杭州,33,LOCATED
杭州,34,LOCATED
杭州,35,LOCATED
杭州,36,LOCATED
成都,37,LOCATED
成都,38,LOCATED
成都,39,LOCATED
成都,40,LOCATED
成都,41,LOCATED
成都,42,LOCATED
成都,43,LOCATED
成都,44,LOCATED
成都,45,LOCATED
成都,46,LOCATED
成都,47,LOCATED
成都,48,LOCATED
成都,49,LOCATED
成都,50,LOCATED
成都,51,LOCATED
成都,52,LOCATED
成都,53,LOCATED
成都,54,LOCATED
济南,55,LOCATED
济南,56,LOCATED
济南,57,LOCATED
济南,58,LOCATED
济南,59,LOCATED
济南,60,LOCATED
济南,61,LOCATED
济南,62,LOCATED
济南,63,LOCATED
广州,64,LOCATED
广州,65,LOCATED
广州,66,LOCATED
广州,67,LOCATED
广州,68,LOCATED
广州,69,LOCATED
广州,70,LOCATED
广州,71,LOCATED
广州,72,LOCATED
天津,73,LOCATED
天津,74,LOCATED
天津,75,LOCATED
天津,76,LOCATED
天津,77,LOCATED
天津,78,LOCATED
天津,79,LOCATED
天津,80,LOCATED
天津,81,LOCATED
杭州,82,LOCATED
杭州,83,LOCATED
杭州,84,LOCATED
杭州,85,LOCATED
杭州,86,LOCATED
杭州,87,LOCATED
杭州,88,LOCATED
杭州,89,LOCATED
杭州,90,LOCATED
长沙,91,LOCATED
长沙,92,LOCATED
长沙,93,LOCATED
长沙,94,LOCATED
长沙,95,LOCATED
长沙,96,LOCATED
长沙,97,LOCATED
长沙,98,LOCATED
长沙,99,LOCATED
沈阳,100,LOCATED
沈阳,101,LOCATED
沈阳,102,LOCATED
沈阳,103,LOCATED
沈阳,104,LOCATED
沈阳,105,LOCATED
沈阳,106,LOCATED
沈阳,107,LOCATED
沈阳,108,LOCATED
南京,109,LOCATED
南京,110,LOCATED
南京,111,LOCATED
南京,112,LOCATED
南京,113,LOCATED
南京,114,LOCATED
南京,115,LOCATED
南京,116,LOCATED
南京,117,LOCATED
杭州,118,LOCATED
杭州,119,LOCATED
杭州,120,LOCATED
杭州,121,LOCATED
杭州,122,LOCATED
杭州,123,LOCATED
杭州,124,LOCATED
杭州,125,LOCATED
杭州,126,LOCATED
惠州,127,LOCATED
惠州,128,LOCATED
惠州,129,LOCATED
惠州,130,LOCATED
惠州,131,LOCATED
惠州,132,LOCATED
惠州,133,LOCATED
惠州,134,LOCATED
惠州,135,LOCATED
上海,136,LOCATED
上海,137,LOCATED
上海,138,LOCATED
上海,139,LOCATED
上海,140,LOCATED
上海,141,LOCATED
上海,142,LOCATED
上海,143,LOCATED
上海,144,LOCATED
哈尔滨,145,LOCATED
哈尔滨,146,LOCATED
哈尔滨,147,LOCATED
哈尔滨,148,LOCATED
哈尔滨,149,LOCATED
哈尔滨,150,LOCATED
哈尔滨,151,LOCATED
哈尔滨,152,LOCATED
哈尔滨,153,LOCATED
江门,154,LOCATED
江门,155,LOCATED
江门,156,LOCATED
江门,157,LOCATED
江门,158,LOCATED
江门,159,LOCATED
江门,160,LOCATED
江门,161,LOCATED
江门,162,LOCATED
杭州,163,LOCATED
杭州,164,LOCATED
杭州,165,LOCATED
杭州,166,LOCATED
杭州,167,LOCATED
杭州,168,LOCATED
杭州,169,LOCATED
杭州,170,LOCATED
杭州,171,LOCATED
济南,172,LOCATED
济南,173,LOCATED
济南,174,LOCATED
济南,175,LOCATED
济南,176,LOCATED
济南,177,LOCATED
济南,178,LOCATED
济南,179,LOCATED
济南,180,LOCATED
杭州,181,LOCATED
杭州,182,LOCATED
杭州,183,LOCATED
杭州,184,LOCATED
杭州,185,LOCATED
杭州,186,LOCATED
杭州,187,LOCATED
杭州,188,LOCATED
杭州,189,LOCATED
江门,190,LOCATED
江门,191,LOCATED
江门,192,LOCATED
江门,193,LOCATED
江门,194,LOCATED
江门,195,LOCATED
江门,196,LOCATED
江门,197,LOCATED
江门,198,LOCATED
杭州,199,LOCATED
杭州,200,LOCATED
杭州,201,LOCATED
杭州,202,LOCATED
杭州,203,LOCATED
杭州,204,LOCATED
杭州,205,LOCATED
杭州,206,LOCATED
杭州,207,LOCATED
天津,208,LOCATED
天津,209,LOCATED
天津,210,LOCATED
天津,211,LOCATED
天津,212,LOCATED
天津,213,LOCATED
天津,214,LOCATED
天津,215,LOCATED
天津,216,LOCATED
长沙,217,LOCATED
长沙,218,LOCATED
