activityId:ID,category,subcategory,city,:LABEL
1,categoryname,subcategoryname,cityname,activity
2,categoryname,subcategoryname,cityname,activity
3,categoryname,subcategoryname,cityname,activity
4,categoryname,subcategoryname,cityname,activity
5,categoryname,subcategoryname,cityname,activity
6,categoryname,subcategoryname,cityname,activity
7,categoryname,subcategoryname,cityname,activity
8,categoryname,subcategoryname,cityname,activity
9,categoryname,subcategoryname,cityname,activity
10,舞蹈芭蕾,舞蹈,成都,activity
11,舞蹈芭蕾,舞蹈,成都,activity
12,舞蹈芭蕾,舞蹈,成都,activity
13,舞蹈芭蕾,舞蹈,成都,activity
14,舞蹈芭蕾,舞蹈,成都,activity
15,舞蹈芭蕾,舞蹈,成都,activity
16,舞蹈芭蕾,舞蹈,成都,activity
17,舞蹈芭蕾,舞蹈,成都,activity
18,舞蹈芭蕾,舞蹈,成都,activity
19,演唱会,其他演唱会,重庆,activity
20,演唱会,其他演唱会,重庆,activity
21,演唱会,其他演唱会,重庆,activity
22,演唱会,其他演唱会,重庆,activity
23,演唱会,其他演唱会,重庆,activity
24,演唱会,其他演唱会,重庆,activity
25,演唱会,其他演唱会,重庆,activity
26,演唱会,其他演唱会,重庆,activity
27,演唱会,其他演唱会,重庆,activity
28,话剧歌剧,音乐剧,杭州,activity
29,话剧歌剧,音乐剧,杭州,activity
30,话剧歌剧,音乐剧,杭州,activity
31,话剧歌剧,音乐剧,杭州,activity
32,话剧歌剧,音乐剧,杭州,activity
33,话剧歌剧,音乐剧,杭州,activity
34,话剧歌剧,音乐剧,杭州,activity
35,话剧歌剧,音乐剧,杭州,activity
36,话剧歌剧,音乐剧,杭州,activity
37,展览休闲,特色体验,成都,activity
38,展览休闲,特色体验,成都,activity
39,展览休闲,特色体验,成都,activity
40,展览休闲,特色体验,成都,activity
41,展览休闲,特色体验,成都,activity
42,展览休闲,特色体验,成都,activity
43,展览休闲,特色体验,成都,activity
44,展览休闲,特色体验,成都,activity
45,展览休闲,特色体验,成都,activity
46,展览休闲,特色体验,成都,activity
47,展览休闲,特色体验,成都,activity
48,展览休闲,特色体验,成都,activity
49,展览休闲,特色体验,成都,activity
50,展览休闲,特色体验,成都,activity
51,展览休闲,特色体验,成都,activity
52,展览休闲,特色体验,成都,activity
53,展览休闲,特色体验,成都,activity
54,展览休闲,特色体验,成都,activity
55,话剧歌剧,话剧,济南,activity
56,话剧歌剧,话剧,济南,activity
57,话剧歌剧,话剧,济南,activity
58,话剧歌剧,话剧,济南,activity
59,话剧歌剧,话剧,济南,activity
60,话剧歌剧,话剧,济南,activity
