:START_ID,:END_ID,:TYPE
subcategoryname,1,INCLUDES
subcategoryname,2,INCLUDES
subcategoryname,3,INCLUDES
subcategoryname,4,INCLUDES
subcategoryname,5,INCLUDES
subcategoryname,6,INCLUDES
subcategoryname,7,INCLUDES
subcategoryname,8,INCLUDES
subcategoryname,9,INCLUDES
舞蹈,10,INCLUDES
舞蹈,11,INCLUDES
舞蹈,12,INCLUDES
舞蹈,13,INCLUDES
舞蹈,14,INCLUDES
舞蹈,15,INCLUDES
舞蹈,16,INCLUDES
舞蹈,17,INCLUDES
舞蹈,18,INCLUDES
其他演唱会,19,INCLUDES
其他演唱会,20,INCLUDES
其他演唱会,21,INCLUDES
其他演唱会,22,INCLUDES
其他演唱会,23,INCLUDES
其他演唱会,24,INCLUDES
其他演唱会,25,INCLUDES
其他演唱会,26,INCLUDES
其他演唱会,27,INCLUDES
音乐剧,28,INCLUDES
音乐剧,29,INCLUDES
音乐剧,30,INCLUDES
音乐剧,31,INCLUDES
音乐剧,32,INCLUDES
音乐剧,33,INCLUDES
音乐剧,34,INCLUDES
音乐剧,35,INCLUDES
音乐剧,36,INCLUDES
特色体验,37,INCLUDES
特色体验,38,INCLUDES
特色体验,39,INCLUDES
特色体验,40,INCLUDES
特色体验,41,INCLUDES
特色体验,42,INCLUDES
特色体验,43,INCLUDES
特色体验,44,INCLUDES
特色体验,45,INCLUDES
特色体验,46,INCLUDES
特色体验,47,INCLUDES
特色体验,48,INCLUDES
特色体验,49,INCLUDES
特色体验,50,INCLUDES
特色体验,51,INCLUDES
特色体验,52,INCLUDES
特色体验,53,INCLUDES
特色体验,54,INCLUDES
话剧,55,INCLUDES
话剧,56,INCLUDES
话剧,57,INCLUDES
话剧,58,INCLUDES
话剧,59,INCLUDES
话剧,60,INCLUDES
话剧,61,INCLUDES
话剧,62,INCLUDES
话剧,63,INCLUDES
其他演唱会,64,INCLUDES
其他演唱会,65,INCLUDES
其他演唱会,66,INCLUDES
其他演唱会,67,INCLUDES
其他演唱会,68,INCLUDES
其他演唱会,69,INCLUDES
其他演唱会,70,INCLUDES
其他演唱会,71,INCLUDES
其他演唱会,72,INCLUDES
其他音乐会,73,INCLUDES
其他音乐会,74,INCLUDES
其他音乐会,75,INCLUDES
其他音乐会,76,INCLUDES
其他音乐会,77,INCLUDES
其他音乐会,78,INCLUDES
其他音乐会,79,INCLUDES
其他音乐会,80,INCLUDES
其他音乐会,81,INCLUDES
其他音乐会,82,INCLUDES
其他音乐会,83,INCLUDES
其他音乐会,84,INCLUDES
其他音乐会,85,INCLUDES
其他音乐会,86,INCLUDES
其他音乐会,87,INCLUDES
