name:ID,:LABEL
cityname,city
成都,city
重庆,city
杭州,city
济南,city
广州,city
天津,city
长沙,city
沈阳,city
南京,city
惠州,city
上海,city
哈尔滨,city
江门,city
青岛,city
大连,city
宁波,city
昆明,city
深圳,city
西安,city
石家庄,city
兴安盟,city
宜昌,city
佛山,city
柳州,city
北京,city
合肥,city
武汉,city
国际及港澳台,city
廊坊,city
苏州,city
株洲,city
金华,city
黄石,city
福州,city
泉州,city
三亚,city
呼和浩特,city
长春,city
烟台,city
郑州,city
珠海,city
张家口,city
东莞,city
常州,city
乌鲁木齐,city
海口,city
湖州,city
贵阳,city
中山,city
乐山,city
太原,city
兰州,city
洛阳,city
南通,city
中国香港,city
厦门,city
蚌埠,city
岳阳,city
无锡,city
丽水,city
连云港,city
南昌,city
鹤壁,city
南宁,city
遵义,city
温州,city
桂林,city
舟山,city
荆州,city
马鞍山,city
潍坊,city
绍兴,city
嘉兴,city
台州,city
大理,city
克拉玛依,city
河源,city
鄂尔多斯,city
阿坝,city
北海,city
安康,city
酒泉,city
包头,city
银川,city
